ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;SUSPEK;Perawatan RS;Isolasi di Rumah;Suspek Meninggal;Selesai Isolasi;PROBABLE;Perawatan RS;Isolasi di Rumah;Probable Meninggal;Selesai Isolasi;PELAKU PERJALANAN;Isolasi di Rumah;Selesai Isolasi;KONTAK ERAT;Isolasi di Rumah;Selesai Isolasi;DISCARDED;Meninggal;Selesai Isolasi;POSITIF;Dirawat;Sembuh;Meninggal;Self Isolation;Keterangan
3174051003;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;CIPULIR;153;6;9;4;134;4;2;0;0;2;6;0;6;402;18;384;5;0;5;95;3;79;4;9;
3175091001;DKI JAKARTA;JAKARTA TIMUR;CIRACAS;CIRACAS;367;9;43;9;306;0;0;0;0;0;22;0;22;1038;84;954;42;0;42;105;4;88;5;8;
3175041003;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;DUKUH;122;4;9;1;108;0;0;0;0;0;1;0;1;315;42;273;13;0;13;43;3;34;0;6;
3175071001;DKI JAKARTA;JAKARTA TIMUR;DUREN SAWIT;DUREN SAWIT;525;8;21;3;493;9;7;0;0;2;2;0;2;486;62;424;17;0;17;210;5;169;8;28;
3174081004;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;DUREN TIGA;182;8;8;0;166;0;0;0;0;0;3;0;3;333;18;315;2;0;2;33;3;28;0;2;
3173051005;DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;DURI KEPA;226;9;18;2;197;3;1;0;0;2;12;0;12;690;47;643;65;0;65;161;6;139;7;9;
3173011002;DKI JAKARTA;JAKARTA BARAT;CENGKARENG;DURI KOSAMBI;247;6;12;3;226;0;0;0;0;0;4;0;4;450;45;405;10;0;10;90;4;75;3;8;
3171011006;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;DURI PULO;102;3;4;3;92;0;0;0;0;0;0;0;0;216;28;188;6;0;6;59;3;48;2;6;
3173041011;DKI JAKARTA;JAKARTA BARAT;TAMBORA;DURI SELATAN;85;2;7;1;75;0;0;0;0;0;2;0;2;97;11;86;3;0;3;40;3;31;2;4;
3173041003;DKI JAKARTA;JAKARTA BARAT;TAMBORA;DURI UTARA;113;2;14;2;95;0;0;0;0;0;1;0;1;142;14;128;1;0;1;49;3;33;3;10;
3171081003;DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;GALUR;113;6;7;0;100;1;1;0;0;0;2;0;2;253;17;236;43;0;43;100;0;84;8;8;
3171011001;DKI JAKARTA;JAKARTA PUSAT;GAMBIR;GAMBIR;52;1;3;0;48;0;0;0;0;0;17;0;17;203;17;186;6;0;6;65;3;44;0;18;
3174061004;DKI JAKARTA;JAKARTA SELATAN;CILANDAK;GANDARIA SELATAN;114;5;8;0;101;1;0;0;0;1;20;0;20;387;17;370;2;0;2;57;1;51;3;2;
3174071009;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;GANDARIA UTARA;228;7;28;2;191;0;0;0;0;0;3;0;3;394;21;373;1;0;1;70;8;57;2;3;
3175051001;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;GEDONG;434;10;58;0;366;0;0;0;0;0;3;1;2;202;24;178;22;0;22;90;2;76;0;12;
3171071001;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;GELORA;36;0;0;1;35;0;0;0;0;0;5;0;5;72;3;69;0;0;0;47;0;45;2;0;
3173031007;DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;GLODOK;50;1;3;0;46;0;0;0;0;0;0;0;0;96;9;87;0;0;0;8;0;7;1;0;
3171061004;DKI JAKARTA;JAKARTA PUSAT;MENTENG;GONDANGDIA;37;2;4;1;30;0;0;0;0;0;4;0;4;82;6;76;7;0;7;30;1;23;2;4;
3173021001;DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;GROGOL;182;1;7;4;170;0;0;0;0;0;39;0;39;489;36;453;31;0;31;74;4;64;0;6;
3174051005;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;GROGOL SELATAN;175;5;18;5;147;0;0;0;0;0;12;0;12;425;17;408;4;0;4;84;5;65;5;9;
3174051004;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;GROGOL UTARA;192;6;12;4;170;0;0;0;0;0;24;0;24;426;21;405;13;0;13;120;6;106;2;6;
3174021007;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;GUNTUR;40;0;7;0;33;0;0;0;0;0;1;0;1;98;20;78;1;0;1;15;2;8;0;5;
3174071002;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;GUNUNG;64;2;8;3;51;0;0;0;0;0;7;0;7;217;5;212;0;0;0;19;1;14;1;3;
3171031005;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;GUNUNG SAHARI SELATAN;162;2;11;1;148;0;0;0;0;0;2;0;2;233;35;198;1;0;1;54;6;39;3;6;
3171021004;DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;GUNUNG SAHARI UTARA;154;7;12;1;134;0;0;0;0;0;5;0;5;308;76;232;6;0;6;42;2;32;5;3;
3175081004;DKI JAKARTA;JAKARTA TIMUR;MAKASAR;HALIM PERDANA KUSUMAH;111;6;14;2;89;0;0;0;0;0;4;2;2;282;32;250;9;0;9;120;4;87;3;26;
3171031003;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;HARAPAN MULIA;204;6;13;3;182;0;0;0;0;0;6;0;6;261;27;234;26;0;26;129;4;115;6;4;
3174091001;DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;JAGAKARSA;534;15;20;2;497;3;1;0;0;2;7;0;7;489;75;414;11;0;11;148;6;125;3;14;
3175021007;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;JATI;183;9;47;1;126;0;0;0;0;0;6;0;6;570;56;514;21;0;21;103;5;84;0;14;
3174041002;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;JATI PADANG;196;9;20;2;165;0;0;0;0;0;3;1;2;378;28;350;56;0;56;50;3;34;3;10;
3173071004;DKI JAKARTA;JAKARTA BARAT;PALMERAH;JATI PULO;273;1;14;4;254;0;0;0;0;0;3;0;3;479;33;446;60;0;60;136;7;122;2;5;
3175061001;DKI JAKARTA;JAKARTA TIMUR;CAKUNG;JATINEGARA;240;9;20;3;208;0;0;0;0;0;2;0;2;649;116;533;32;0;32;123;4;88;6;25;
3175021004;DKI JAKARTA;JAKARTA TIMUR;PULO GADUNG;JATINEGARA KAUM;44;2;3;0;39;1;0;0;1;0;3;0;3;163;34;129;6;0;6;14;0;14;0;0;
3173021004;DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;JELAMBAR;189;5;11;5;168;2;0;0;0;2;24;0;24;497;30;467;7;0;7;85;2;74;4;5;
3173021006;DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;JELAMBAR BARU;244;5;19;2;218;1;0;0;0;1;4;0;4;422;21;401;17;0;17;43;3;30;3;7;
3173041006;DKI JAKARTA;JAKARTA BARAT;TAMBORA;JEMBATAN BESI;408;7;9;1;391;0;0;0;0;0;4;1;3;396;30;366;7;0;7;134;3;118;6;7;
3173041008;DKI JAKARTA;JAKARTA BARAT;TAMBORA;JEMBATAN LIMA;117;4;4;0;109;0;0;0;0;0;0;0;0;149;23;126;1;0;1;31;1;23;2;5;
3173081005;DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;JOGLO;162;8;16;4;134;0;0;0;0;0;4;0;4;303;23;280;12;0;12;56;6;48;1;1;
3171081001;DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;JOHAR BARU;341;7;27;3;304;1;1;0;0;0;3;0;3;954;79;875;92;0;92;247;9;220;11;7;
3173041002;DKI JAKARTA;JAKARTA BARAT;TAMBORA;KALI ANYAR;233;3;23;0;207;0;0;0;0;0;3;0;3;273;19;254;9;0;9;88;4;63;3;18;
3172041004;DKI JAKARTA;JAKARTA UTARA;CILINCING;KALI BARU;217;10;16;5;186;0;0;0;0;0;4;1;3;495;23;472;33;0;33;140;6;107;6;21;
3174081002;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;KALIBATA;260;8;10;3;239;3;2;0;0;1;8;0;8;416;32;384;10;0;10;117;8;104;1;4;
3173061001;DKI JAKARTA;JAKARTA BARAT;KALI DERES;KALIDERES;598;13;55;4;526;0;0;0;0;0;5;0;5;1467;63;1404;28;0;28;125;3;101;4;17;
3175051004;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;KALISARI;505;12;47;0;446;0;0;0;0;0;2;1;1;251;35;216;7;0;7;76;1;66;3;6;
3173061004;DKI JAKARTA;JAKARTA BARAT;KALI DERES;KAMAL;205;2;5;3;195;0;0;0;0;0;1;0;1;368;16;352;2;0;2;16;0;14;2;0;
3172011002;DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;KAMAL MUARA;49;1;3;0;45;0;0;0;0;0;4;0;4;79;11;68;0;0;0;22;1;20;1;0;
3171071007;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KAMPUNG BALI;99;5;6;2;86;0;0;0;0;0;2;0;2;124;7;117;2;0;2;28;4;22;2;0;
